itemid,itemtype,msg,target,competitor,distractor,trialid,targetpos,layout,prob_target,prob_competitor,prob_distr,speaker,participant_id,condition
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,161,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,3,"sq_gr,tr_re,tr_bl; ",100,0,0,child,113,critical
1,critical,tr,tr_bl,tr_re,sq_gr,5,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,152,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,171,critical
1,critical,tr,tr_bl,tr_re,sq_gr,11,2,"sq_gr,tr_bl,tr_re; ",49,51,0,child,116,critical
1,critical,tr,tr_bl,tr_re,sq_gr,17,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,162,critical
1,critical,tr,tr_bl,tr_re,sq_gr,21,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,127,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,2,"sq_gr,tr_bl,tr_re; ",43,47,10,child,124,critical
1,critical,tr,tr_bl,tr_re,sq_gr,9,2,"sq_gr,tr_bl,tr_re; ",0,100,0,child,128,critical
1,critical,tr,tr_bl,tr_re,sq_gr,11,2,"tr_re,tr_bl,sq_gr; ",100,0,0,child,143,critical
1,critical,tr,tr_bl,tr_re,sq_gr,4,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,178,critical
1,critical,tr,tr_bl,tr_re,sq_gr,23,1,"tr_bl,sq_gr,tr_re; ",100,0,0,child,146,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,153,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,3,"tr_re,sq_gr,tr_bl; ",39,61,0,child,172,critical
1,critical,tr,tr_bl,tr_re,sq_gr,13,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,120,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,3,"tr_re,sq_gr,tr_bl; ",75,25,0,child,108,critical
1,critical,tr,tr_bl,tr_re,sq_gr,6,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,147,critical
1,critical,tr,tr_bl,tr_re,sq_gr,0,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,92,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,117,critical
1,critical,tr,tr_bl,tr_re,sq_gr,3,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,163,critical
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,154,critical
1,critical,tr,tr_bl,tr_re,sq_gr,23,2,"sq_gr,tr_bl,tr_re; ",50,50,0,child,186,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,3,"tr_re,sq_gr,tr_bl; ",50,50,0,child,121,critical
1,critical,tr,tr_bl,tr_re,sq_gr,12,3,"sq_gr,tr_re,tr_bl; ",90,10,0,child,179,critical
1,critical,tr,tr_bl,tr_re,sq_gr,15,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,148,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,2,"sq_gr,tr_bl,tr_re; ",64,36,0,child,149,critical
1,critical,tr,tr_bl,tr_re,sq_gr,1,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,184,critical
1,critical,tr,tr_bl,tr_re,sq_gr,8,2,"tr_re,tr_bl,sq_gr; ",100,0,0,child,109,critical
1,critical,tr,tr_bl,tr_re,sq_gr,17,1,"tr_bl,tr_re,sq_gr; ",50,50,0,child,155,critical
1,critical,tr,tr_bl,tr_re,sq_gr,2,2,"tr_re,tr_bl,sq_gr; ",50,50,0,child,129,critical
1,critical,tr,tr_bl,tr_re,sq_gr,13,3,"sq_gr,tr_re,tr_bl; ",70,30,0,child,132,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,3,"tr_re,sq_gr,tr_bl; ",40,40,20,child,133,critical
1,critical,tr,tr_bl,tr_re,sq_gr,23,3,"sq_gr,tr_re,tr_bl; ",100,0,0,child,183,critical
1,critical,tr,tr_bl,tr_re,sq_gr,18,1,"tr_bl,sq_gr,tr_re; ",0,100,0,child,144,critical
1,critical,tr,tr_bl,tr_re,sq_gr,23,1,"tr_bl,tr_re,sq_gr; ",100,0,0,child,134,critical
1,critical,tr,tr_bl,tr_re,sq_gr,18,3,"sq_gr,tr_re,tr_bl; ",50,50,0,child,156,critical
1,critical,tr,tr_bl,tr_re,sq_gr,5,1,"tr_bl,tr_re,sq_gr; ",40,40,20,child,182,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,1,"tr_bl,tr_re,sq_gr; ",100,0,0,child,185,critical
1,critical,tr,tr_bl,tr_re,sq_gr,18,3,"tr_re,sq_gr,tr_bl; ",29,71,0,child,98,critical
1,critical,tr,tr_bl,tr_re,sq_gr,16,3,"tr_re,sq_gr,tr_bl; ",0,100,0,child,157,critical
1,critical,tr,tr_bl,tr_re,sq_gr,22,2,"tr_re,tr_bl,sq_gr; ",75,25,0,child,173,critical
1,critical,tr,tr_bl,tr_re,sq_gr,4,2,"tr_re,tr_bl,sq_gr; ",45,45,10,child,110,critical
1,critical,tr,tr_bl,tr_re,sq_gr,19,1,"tr_bl,sq_gr,tr_re; ",0,100,0,child,167,critical
2,critical,tr,tr_bl,tr_gr,ci_re,12,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,114,critical
2,critical,tr,tr_bl,tr_gr,ci_re,18,1,"tr_bl,ci_re,tr_gr; ",62,38,0,child,118,critical
2,critical,tr,tr_bl,tr_gr,ci_re,0,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,93,critical
2,critical,tr,tr_bl,tr_gr,ci_re,4,1,"tr_bl,ci_re,tr_gr; ",50,50,0,child,90,critical
2,critical,tr,tr_bl,tr_gr,ci_re,7,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,125,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,158,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,2,"tr_gr,tr_bl,ci_re; ",52,48,0,child,174,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,138,critical
2,critical,tr,tr_bl,tr_gr,ci_re,14,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,175,critical
2,critical,tr,tr_bl,tr_gr,ci_re,0,1,"tr_bl,ci_re,tr_gr; ",49,51,0,child,94,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,1,"tr_bl,tr_gr,ci_re; ",49,51,0,child,168,critical
2,critical,tr,tr_bl,tr_gr,ci_re,0,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,95,critical
2,critical,tr,tr_bl,tr_gr,ci_re,8,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,130,critical
2,critical,tr,tr_bl,tr_gr,ci_re,5,3,"tr_gr,ci_re,tr_bl; ",0,100,0,child,180,critical
2,critical,tr,tr_bl,tr_gr,ci_re,7,1,"tr_bl,ci_re,tr_gr; ",65,35,0,child,119,critical
2,critical,tr,tr_bl,tr_gr,ci_re,4,3,"tr_gr,ci_re,tr_bl; ",0,82,18,child,99,critical
2,critical,tr,tr_bl,tr_gr,ci_re,22,1,"tr_bl,ci_re,tr_gr; ",95,5,0,child,169,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,1,"tr_bl,ci_re,tr_gr; ",39,52,9,child,122,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,1,"tr_bl,tr_gr,ci_re; ",42,31,27,child,139,critical
2,critical,tr,tr_bl,tr_gr,ci_re,16,1,"tr_bl,ci_re,tr_gr; ",76,24,0,child,140,critical
2,critical,tr,tr_bl,tr_gr,ci_re,19,2,"tr_gr,tr_bl,ci_re; ",48,52,0,child,150,critical
2,critical,tr,tr_bl,tr_gr,ci_re,5,1,"tr_bl,tr_gr,ci_re; ",49,51,0,child,159,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,100,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,3,"tr_gr,ci_re,tr_bl; ",100,0,0,child,111,critical
2,critical,tr,tr_bl,tr_gr,ci_re,12,2,"tr_gr,tr_bl,ci_re; ",89,11,0,child,101,critical
2,critical,tr,tr_bl,tr_gr,ci_re,22,2,"ci_re,tr_bl,tr_gr; ",34,41,25,child,176,critical
2,critical,tr,tr_bl,tr_gr,ci_re,12,2,"ci_re,tr_bl,tr_gr; ",100,0,0,child,170,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,1,"tr_bl,tr_gr,ci_re; ",49,51,0,child,141,critical
2,critical,tr,tr_bl,tr_gr,ci_re,20,1,"tr_bl,tr_gr,ci_re; ",100,0,0,child,96,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,2,"ci_re,tr_bl,tr_gr; ",43,45,12,child,112,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,3,"tr_gr,ci_re,tr_bl; ",50,50,0,child,102,critical
2,critical,tr,tr_bl,tr_gr,ci_re,3,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,135,critical
2,critical,tr,tr_bl,tr_gr,ci_re,4,3,"ci_re,tr_gr,tr_bl; ",50,50,0,child,115,critical
2,critical,tr,tr_bl,tr_gr,ci_re,8,2,"tr_gr,tr_bl,ci_re; ",44,45,11,child,136,critical
2,critical,tr,tr_bl,tr_gr,ci_re,19,1,"tr_bl,ci_re,tr_gr; ",50,50,0,child,131,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,123,critical
2,critical,tr,tr_bl,tr_gr,ci_re,19,1,"tr_bl,ci_re,tr_gr; ",60,35,5,child,106,critical
2,critical,tr,tr_bl,tr_gr,ci_re,22,3,"ci_re,tr_gr,tr_bl; ",100,0,0,child,137,critical
2,critical,tr,tr_bl,tr_gr,ci_re,23,2,"tr_gr,tr_bl,ci_re; ",70,30,0,child,164,critical
2,critical,tr,tr_bl,tr_gr,ci_re,9,3,"tr_gr,ci_re,tr_bl; ",80,20,0,child,151,critical
2,critical,tr,tr_bl,tr_gr,ci_re,5,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,103,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,2,"ci_re,tr_bl,tr_gr; ",100,0,0,child,126,critical
2,critical,tr,tr_bl,tr_gr,ci_re,9,3,"tr_gr,ci_re,tr_bl; ",84,16,0,child,181,critical
2,critical,tr,tr_bl,tr_gr,ci_re,13,1,"tr_bl,tr_gr,ci_re; ",52,48,0,child,142,critical
2,critical,tr,tr_bl,tr_gr,ci_re,16,3,"ci_re,tr_gr,tr_bl; ",62,38,0,child,104,critical
2,critical,tr,tr_bl,tr_gr,ci_re,5,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,165,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,3,"ci_re,tr_gr,tr_bl; ",50,50,0,child,166,critical
2,critical,tr,tr_bl,tr_gr,ci_re,18,1,"tr_bl,ci_re,tr_gr; ",42,44,14,child,145,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,97,critical
2,critical,tr,tr_bl,tr_gr,ci_re,13,2,"tr_gr,tr_bl,ci_re; ",46,54,0,child,160,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,3,"ci_re,tr_gr,tr_bl; ",67,33,0,child,105,critical
2,critical,tr,tr_bl,tr_gr,ci_re,16,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,107,critical
2,critical,tr,tr_bl,tr_gr,ci_re,19,1,"tr_bl,ci_re,tr_gr; ",51,49,0,child,177,critical
2,critical,tr,tr_bl,tr_gr,ci_re,8,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,91,critical
2,critical,tr,tr_bl,tr_gr,ci_re,16,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,161,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,3,"tr_gr,ci_re,tr_bl; ",100,0,0,child,113,critical
2,critical,tr,tr_bl,tr_gr,ci_re,17,3,"tr_gr,ci_re,tr_bl; ",50,50,0,child,152,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,1,"tr_bl,ci_re,tr_gr; ",50,50,0,child,171,critical
2,critical,tr,tr_bl,tr_gr,ci_re,9,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,116,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,162,critical
2,critical,tr,tr_bl,tr_gr,ci_re,8,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,127,critical
2,critical,tr,tr_bl,tr_gr,ci_re,10,3,"tr_gr,ci_re,tr_bl; ",31,69,0,child,124,critical
2,critical,tr,tr_bl,tr_gr,ci_re,13,1,"tr_bl,tr_gr,ci_re; ",35,35,30,child,128,critical
2,critical,tr,tr_bl,tr_gr,ci_re,14,3,"tr_gr,ci_re,tr_bl; ",100,0,0,child,143,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,2,"ci_re,tr_bl,tr_gr; ",100,0,0,child,178,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,2,"tr_gr,tr_bl,ci_re; ",55,45,0,child,146,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,153,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,3,"ci_re,tr_gr,tr_bl; ",0,100,0,child,172,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,3,"tr_gr,ci_re,tr_bl; ",51,49,0,child,120,critical
2,critical,tr,tr_bl,tr_gr,ci_re,23,3,"tr_gr,ci_re,tr_bl; ",75,25,0,child,108,critical
2,critical,tr,tr_bl,tr_gr,ci_re,3,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,147,critical
2,critical,tr,tr_bl,tr_gr,ci_re,18,3,"tr_gr,ci_re,tr_bl; ",50,50,0,child,92,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,1,"tr_bl,tr_gr,ci_re; ",100,0,0,child,117,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,163,critical
2,critical,tr,tr_bl,tr_gr,ci_re,4,3,"ci_re,tr_gr,tr_bl; ",50,50,0,child,154,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,186,critical
2,critical,tr,tr_bl,tr_gr,ci_re,12,2,"tr_gr,tr_bl,ci_re; ",100,0,0,child,121,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,3,"tr_gr,ci_re,tr_bl; ",50,50,0,child,179,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,148,critical
2,critical,tr,tr_bl,tr_gr,ci_re,13,3,"ci_re,tr_gr,tr_bl; ",100,0,0,child,149,critical
2,critical,tr,tr_bl,tr_gr,ci_re,4,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,184,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,2,"tr_gr,tr_bl,ci_re; ",75,25,0,child,109,critical
2,critical,tr,tr_bl,tr_gr,ci_re,21,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,155,critical
2,critical,tr,tr_bl,tr_gr,ci_re,10,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,129,critical
2,critical,tr,tr_bl,tr_gr,ci_re,17,3,"tr_gr,ci_re,tr_bl; ",70,30,0,child,132,critical
2,critical,tr,tr_bl,tr_gr,ci_re,15,1,"tr_bl,ci_re,tr_gr; ",42,43,15,child,133,critical
2,critical,tr,tr_bl,tr_gr,ci_re,20,2,"tr_gr,tr_bl,ci_re; ",100,0,0,child,183,critical
2,critical,tr,tr_bl,tr_gr,ci_re,1,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,144,critical
2,critical,tr,tr_bl,tr_gr,ci_re,14,1,"tr_bl,tr_gr,ci_re; ",80,20,0,child,134,critical
2,critical,tr,tr_bl,tr_gr,ci_re,2,3,"ci_re,tr_gr,tr_bl; ",50,50,0,child,156,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,1,"tr_bl,ci_re,tr_gr; ",20,40,40,child,182,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,3,"ci_re,tr_gr,tr_bl; ",50,50,0,child,185,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,2,"ci_re,tr_bl,tr_gr; ",50,50,0,child,98,critical
2,critical,tr,tr_bl,tr_gr,ci_re,11,3,"ci_re,tr_gr,tr_bl; ",0,100,0,child,157,critical
2,critical,tr,tr_bl,tr_gr,ci_re,8,1,"tr_bl,tr_gr,ci_re; ",50,50,0,child,173,critical
2,critical,tr,tr_bl,tr_gr,ci_re,20,2,"tr_gr,tr_bl,ci_re; ",50,50,0,child,110,critical
2,critical,tr,tr_bl,tr_gr,ci_re,6,1,"tr_bl,ci_re,tr_gr; ",50,50,0,child,167,critical
3,critical,ci,ci_bl,ci_re,tr_gr,4,2,"tr_gr,ci_bl,ci_re; ",50,50,0,child,114,critical
3,critical,ci,ci_bl,ci_re,tr_gr,1,3,"tr_gr,ci_re,ci_bl; ",50,50,0,child,118,critical
3,critical,ci,ci_bl,ci_re,tr_gr,8,3,"ci_re,tr_gr,ci_bl; ",50,50,0,child,93,critical
3,critical,ci,ci_bl,ci_re,tr_gr,5,3,"ci_re,tr_gr,ci_bl; ",0,100,0,child,90,critical
3,critical,ci,ci_bl,ci_re,tr_gr,18,1,"ci_bl,ci_re,tr_gr; ",50,50,0,child,125,critical
3,critical,ci,ci_bl,ci_re,tr_gr,20,2,"ci_re,ci_bl,tr_gr; ",50,50,0,child,158,critical
3,critical,ci,ci_bl,ci_re,tr_gr,20,2,"tr_gr,ci_bl,ci_re; ",51,49,0,child,174,critical
3,critical,ci,ci_bl,ci_re,tr_gr,12,3,"tr_gr,ci_re,ci_bl; ",50,50,0,child,138,critical
3,critical,ci,ci_bl,ci_re,tr_gr,6,2,"tr_gr,ci_bl,ci_re; ",50,50,0,child,175,critical
3,critical,ci,ci_bl,ci_re,tr_gr,16,3,"tr_gr,ci_re,ci_bl; ",49,51,0,child,94,critical
3,critical,ci,ci_bl,ci_re,tr_gr,17,3,"tr_gr,ci_re,ci_bl; ",49,51,0,child,168,critical
3,critical,ci,ci_bl,ci_re,tr_gr,10,3,"tr_gr,ci_re,ci_bl; ",60,40,0,child,95,critical
3,critical,ci,ci_bl,ci_re,tr_gr,14,2,"ci_re,ci_bl,tr_gr; ",0,100,0,child,130,critical
3,critical,ci,ci_bl,ci_re,tr_gr,8,3,"tr_gr,ci_re,ci_bl; ",0,100,0,child,180,critical
3,critical,ci,ci_bl,ci_re,tr_gr,18,1,"ci_bl,tr_gr,ci_re; ",60,40,0,child,119,critical
3,critical,ci,ci_bl,ci_re,tr_gr,8,1,"ci_bl,ci_re,tr_gr; ",35,41,24,child,99,critical
3,critical,ci,ci_bl,ci_re,tr_gr,7,3,"ci_re,tr_gr,ci_bl; ",95,5,0,child,169,critical
3,critical,ci,ci_bl,ci_re,tr_gr,22,3,"ci_re,tr_gr,ci_bl; ",45,45,10,child,122,critical
3,critical,ci,ci_bl,ci_re,tr_gr,20,1,"ci_bl,ci_re,tr_gr; ",47,53,0,child,139,critical
3,critical,ci,ci_bl,ci_re,tr_gr,20,3,"tr_gr,ci_re,ci_bl; ",73,27,0,child,140,critical
3,critical,ci,ci_bl,ci_re,tr_gr,13,3,"ci_re,tr_gr,ci_bl; ",49,51,0,child,150,critical
3,critical,ci,ci_bl,ci_re,tr_gr,9,1,"ci_bl,ci_re,tr_gr; ",50,50,0,child,159,critical
3,critical,ci,ci_bl,ci_re,tr_gr,14,3,"ci_re,tr_gr,ci_bl; ",50,50,0,child,100,critical
3,critical,ci,ci_bl,ci_re,tr_gr,1,1,"ci_bl,ci_re,tr_gr; ",50,50,0,child,111,critical
3,critical,ci,ci_bl,ci_re,tr_gr,3,3,"tr_gr,ci_re,ci_bl; ",93,7,0,child,101,critical
3,critical,ci,ci_bl,ci_re,tr_gr,9,2,"ci_re,ci_bl,tr_gr; ",41,40,19,child,176,critical
3,critical,ci,ci_bl,ci_re,tr_gr,7,2,"ci_re,ci_bl,tr_gr; ",100,0,0,child,170,critical
3,critical,ci,ci_bl,ci_re,tr_gr,7,1,"ci_bl,tr_gr,ci_re; ",51,49,0,child,141,critical
3,critical,ci,ci_bl,ci_re,tr_gr,0,2,"ci_re,ci_bl,tr_gr; ",100,0,0,child,96,critical
