itemid,itemtype,msg,target,competitor,distractor,trialid,targetpos,layout,prob_target,prob_competitor,prob_distr,condition,speaker,participant_id
1,critical,tr,tr_bl,tr_re,sq_gr,10,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,adult,19
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,20
1,critical,tr,tr_bl,tr_re,sq_gr,4,1,"tr_bl,tr_re,sq_gr",75,25,0,critical,child,21
1,critical,tr,tr_bl,tr_re,sq_gr,22,3,"tr_re,sq_gr,tr_bl",0,100,0,critical,child,22
1,critical,tr,tr_bl,tr_re,sq_gr,13,3,"sq_gr,tr_re,tr_bl",50,50,0,critical,child,23
1,critical,tr,tr_bl,tr_re,sq_gr,1,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,child,24
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,sq_gr,tr_re",0,100,0,critical,child,25
1,critical,tr,tr_bl,tr_re,sq_gr,8,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,adult,26
1,critical,tr,tr_bl,tr_re,sq_gr,14,2,"tr_re,tr_bl,sq_gr",75,25,0,critical,child,27
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,tr_re,sq_gr",55,45,0,critical,child,28
1,critical,tr,tr_bl,tr_re,sq_gr,3,2,"sq_gr,tr_bl,tr_re",70,30,0,critical,adult,29
1,critical,tr,tr_bl,tr_re,sq_gr,7,1,"tr_bl,sq_gr,tr_re",50,0,50,critical,child,30
1,critical,tr,tr_bl,tr_re,sq_gr,10,1,"tr_bl,tr_re,sq_gr",46,54,0,critical,child,31
1,critical,tr,tr_bl,tr_re,sq_gr,0,3,"sq_gr,tr_re,tr_bl",15,46,39,critical,child,32
1,critical,tr,tr_bl,tr_re,sq_gr,18,2,"tr_re,tr_bl,sq_gr",75,25,0,critical,child,33
1,critical,tr,tr_bl,tr_re,sq_gr,0,2,"tr_re,tr_bl,sq_gr",50,50,0,critical,adult,34
1,critical,tr,tr_bl,tr_re,sq_gr,13,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,35
1,critical,tr,tr_bl,tr_re,sq_gr,17,2,"sq_gr,tr_bl,tr_re",98,2,0,critical,adult,36
1,critical,tr,tr_bl,tr_re,sq_gr,19,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,adult,37
1,critical,tr,tr_bl,tr_re,sq_gr,23,1,"tr_bl,tr_re,sq_gr",100,0,0,critical,child,38
1,critical,tr,tr_bl,tr_re,sq_gr,8,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,adult,39
1,critical,tr,tr_bl,tr_re,sq_gr,12,2,"tr_re,tr_bl,sq_gr",100,0,0,critical,adult,40
1,critical,tr,tr_bl,tr_re,sq_gr,10,2,"tr_re,tr_bl,sq_gr",48,47,5,critical,child,41
1,critical,tr,tr_bl,tr_re,sq_gr,14,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,42
1,critical,tr,tr_bl,tr_re,sq_gr,22,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,child,43
1,critical,tr,tr_bl,tr_re,sq_gr,19,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,44
1,critical,tr,tr_bl,tr_re,sq_gr,8,3,"sq_gr,tr_re,tr_bl",95,5,0,critical,adult,45
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,sq_gr,tr_re",75,25,0,critical,adult,46
1,critical,tr,tr_bl,tr_re,sq_gr,2,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,47
1,critical,tr,tr_bl,tr_re,sq_gr,6,1,"tr_bl,tr_re,sq_gr",75,25,0,critical,adult,48
1,critical,tr,tr_bl,tr_re,sq_gr,13,3,"sq_gr,tr_re,tr_bl",50,50,0,critical,adult,49
1,critical,tr,tr_bl,tr_re,sq_gr,11,3,"tr_re,sq_gr,tr_bl",50,50,0,critical,adult,50
1,critical,tr,tr_bl,tr_re,sq_gr,17,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,child,51
1,critical,tr,tr_bl,tr_re,sq_gr,12,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,52
1,critical,tr,tr_bl,tr_re,sq_gr,3,3,"sq_gr,tr_re,tr_bl",50,50,0,critical,child,53
1,critical,tr,tr_bl,tr_re,sq_gr,17,3,"tr_re,sq_gr,tr_bl",100,0,0,critical,adult,54
1,critical,tr,tr_bl,tr_re,sq_gr,23,1,"tr_bl,tr_re,sq_gr",50,50,0,critical,adult,55
1,critical,tr,tr_bl,tr_re,sq_gr,23,2,"sq_gr,tr_bl,tr_re",100,0,0,critical,adult,56
1,critical,tr,tr_bl,tr_re,sq_gr,16,2,"tr_re,tr_bl,sq_gr",50,50,0,critical,child,57
1,critical,tr,tr_bl,tr_re,sq_gr,10,3,"tr_re,sq_gr,tr_bl",50,50,0,critical,adult,58
1,critical,tr,tr_bl,tr_re,sq_gr,18,3,"sq_gr,tr_re,tr_bl",49,51,0,critical,child,59
1,critical,tr,tr_bl,tr_re,sq_gr,23,2,"tr_re,tr_bl,sq_gr",50,50,0,critical,child,60
1,critical,tr,tr_bl,tr_re,sq_gr,14,1,"tr_bl,tr_re,sq_gr",73,27,0,critical,child,61
1,critical,tr,tr_bl,tr_re,sq_gr,12,1,"tr_bl,tr_re,sq_gr",48,47,5,critical,adult,62
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,63
1,critical,tr,tr_bl,tr_re,sq_gr,6,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,child,64
1,critical,tr,tr_bl,tr_re,sq_gr,9,3,"tr_re,sq_gr,tr_bl",0,100,0,critical,child,65
1,critical,tr,tr_bl,tr_re,sq_gr,20,3,"tr_re,sq_gr,tr_bl",47,53,0,critical,child,66
1,critical,tr,tr_bl,tr_re,sq_gr,9,2,"tr_re,tr_bl,sq_gr",13,72,15,critical,adult,67
1,critical,tr,tr_bl,tr_re,sq_gr,16,2,"sq_gr,tr_bl,tr_re",100,0,0,critical,adult,68
1,critical,tr,tr_bl,tr_re,sq_gr,9,2,"tr_re,tr_bl,sq_gr",46,54,0,critical,adult,69
1,critical,tr,tr_bl,tr_re,sq_gr,17,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,child,70
1,critical,tr,tr_bl,tr_re,sq_gr,18,2,"tr_re,tr_bl,sq_gr",80,20,0,critical,child,71
1,critical,tr,tr_bl,tr_re,sq_gr,9,1,"tr_bl,tr_re,sq_gr",100,0,0,critical,adult,72
1,critical,tr,tr_bl,tr_re,sq_gr,1,2,"tr_re,tr_bl,sq_gr",50,50,0,critical,child,73
1,critical,tr,tr_bl,tr_re,sq_gr,4,3,"tr_re,sq_gr,tr_bl",50,50,0,critical,child,74
1,critical,tr,tr_bl,tr_re,sq_gr,9,3,"sq_gr,tr_re,tr_bl",100,0,0,critical,adult,75
1,critical,tr,tr_bl,tr_re,sq_gr,21,3,"sq_gr,tr_re,tr_bl",100,0,0,critical,adult,76
1,critical,tr,tr_bl,tr_re,sq_gr,14,1,"tr_bl,sq_gr,tr_re",50,50,0,critical,adult,77
1,critical,tr,tr_bl,tr_re,sq_gr,9,3,"tr_re,sq_gr,tr_bl",0,0,100,critical,adult,78
1,critical,tr,tr_bl,tr_re,sq_gr,3,1,"tr_bl,tr_re,sq_gr",100,0,0,critical,adult,79
1,critical,tr,tr_bl,tr_re,sq_gr,14,1,"tr_bl,tr_re,sq_gr",0,100,0,critical,adult,1
1,critical,tr,tr_bl,tr_re,sq_gr,1,2,"sq_gr,tr_bl,tr_re",50,50,0,critical,child,80
2,critical,tr,tr_bl,tr_gr,ci_re,17,2,"tr_gr,tr_bl,ci_re",87,11,2,critical,adult,2
2,critical,tr,tr_bl,tr_gr,ci_re,17,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,child,3
2,critical,tr,tr_bl,tr_gr,ci_re,15,3,"tr_gr,ci_re,tr_bl",100,0,0,critical,adult,4
2,critical,tr,tr_bl,tr_gr,ci_re,3,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,child,5
2,critical,tr,tr_bl,tr_gr,ci_re,8,3,"ci_re,tr_gr,tr_bl",75,25,0,critical,child,6
2,critical,tr,tr_bl,tr_gr,ci_re,20,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,7
2,critical,tr,tr_bl,tr_gr,ci_re,20,1,"tr_bl,tr_gr,ci_re",100,0,0,critical,child,8
2,critical,tr,tr_bl,tr_gr,ci_re,23,2,"ci_re,tr_bl,tr_gr",51,49,0,critical,child,9
2,critical,tr,tr_bl,tr_gr,ci_re,21,1,"tr_bl,ci_re,tr_gr",100,0,0,critical,adult,10
2,critical,tr,tr_bl,tr_gr,ci_re,11,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,child,11
2,critical,tr,tr_bl,tr_gr,ci_re,10,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,child,12
2,critical,tr,tr_bl,tr_gr,ci_re,15,1,"tr_bl,ci_re,tr_gr",50,50,0,critical,child,13
2,critical,tr,tr_bl,tr_gr,ci_re,13,2,"tr_gr,tr_bl,ci_re",51,49,0,critical,child,14
2,critical,tr,tr_bl,tr_gr,ci_re,13,2,"tr_gr,tr_bl,ci_re",100,0,0,critical,adult,15
2,critical,tr,tr_bl,tr_gr,ci_re,20,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,adult,16
2,critical,tr,tr_bl,tr_gr,ci_re,16,2,"ci_re,tr_bl,tr_gr",50,50,0,critical,child,17
2,critical,tr,tr_bl,tr_gr,ci_re,23,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,adult,18
2,critical,tr,tr_bl,tr_gr,ci_re,5,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,adult,19
2,critical,tr,tr_bl,tr_gr,ci_re,22,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,20
2,critical,tr,tr_bl,tr_gr,ci_re,6,3,"ci_re,tr_gr,tr_bl",79,21,0,critical,child,21
2,critical,tr,tr_bl,tr_gr,ci_re,8,1,"tr_bl,tr_gr,ci_re",49,51,0,critical,child,22
2,critical,tr,tr_bl,tr_gr,ci_re,1,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,child,23
2,critical,tr,tr_bl,tr_gr,ci_re,17,3,"ci_re,tr_gr,tr_bl",75,25,0,critical,child,24
2,critical,tr,tr_bl,tr_gr,ci_re,4,2,"ci_re,tr_bl,tr_gr",0,50,50,critical,child,25
2,critical,tr,tr_bl,tr_gr,ci_re,7,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,adult,26
2,critical,tr,tr_bl,tr_gr,ci_re,1,1,"tr_bl,tr_gr,ci_re",80,20,0,critical,child,27
2,critical,tr,tr_bl,tr_gr,ci_re,5,3,"ci_re,tr_gr,tr_bl",28,72,0,critical,child,28
2,critical,tr,tr_bl,tr_gr,ci_re,11,2,"ci_re,tr_bl,tr_gr",70,30,0,critical,adult,29
2,critical,tr,tr_bl,tr_gr,ci_re,14,3,"ci_re,tr_gr,tr_bl",20,80,0,critical,child,30
2,critical,tr,tr_bl,tr_gr,ci_re,14,3,"tr_gr,ci_re,tr_bl",52,48,0,critical,child,31
2,critical,tr,tr_bl,tr_gr,ci_re,2,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,child,32
2,critical,tr,tr_bl,tr_gr,ci_re,3,1,"tr_bl,ci_re,tr_gr",75,25,0,critical,child,33
2,critical,tr,tr_bl,tr_gr,ci_re,22,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,adult,34
2,critical,tr,tr_bl,tr_gr,ci_re,6,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,adult,35
2,critical,tr,tr_bl,tr_gr,ci_re,23,3,"ci_re,tr_gr,tr_bl",98,2,0,critical,adult,36
2,critical,tr,tr_bl,tr_gr,ci_re,21,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,adult,37
2,critical,tr,tr_bl,tr_gr,ci_re,9,3,"ci_re,tr_gr,tr_bl",100,0,0,critical,child,38
2,critical,tr,tr_bl,tr_gr,ci_re,20,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,adult,39
2,critical,tr,tr_bl,tr_gr,ci_re,4,2,"tr_gr,tr_bl,ci_re",100,0,0,critical,adult,40
2,critical,tr,tr_bl,tr_gr,ci_re,14,3,"tr_gr,ci_re,tr_bl",48,48,4,critical,child,41
2,critical,tr,tr_bl,tr_gr,ci_re,15,2,"ci_re,tr_bl,tr_gr",50,50,0,critical,adult,42
2,critical,tr,tr_bl,tr_gr,ci_re,0,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,43
2,critical,tr,tr_bl,tr_gr,ci_re,16,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,child,44
2,critical,tr,tr_bl,tr_gr,ci_re,19,3,"tr_gr,ci_re,tr_bl",95,5,0,critical,adult,45
2,critical,tr,tr_bl,tr_gr,ci_re,15,3,"tr_gr,ci_re,tr_bl",75,25,0,critical,adult,46
2,critical,tr,tr_bl,tr_gr,ci_re,0,1,"tr_bl,ci_re,tr_gr",50,50,0,critical,child,47
2,critical,tr,tr_bl,tr_gr,ci_re,8,1,"tr_bl,tr_gr,ci_re",75,25,0,critical,adult,48
2,critical,tr,tr_bl,tr_gr,ci_re,20,3,"ci_re,tr_gr,tr_bl",100,0,0,critical,adult,49
2,critical,tr,tr_bl,tr_gr,ci_re,2,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,adult,50
2,critical,tr,tr_bl,tr_gr,ci_re,3,1,"tr_bl,ci_re,tr_gr",50,50,0,critical,child,51
2,critical,tr,tr_bl,tr_gr,ci_re,4,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,adult,52
2,critical,tr,tr_bl,tr_gr,ci_re,20,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,53
2,critical,tr,tr_bl,tr_gr,ci_re,15,3,"tr_gr,ci_re,tr_bl",100,0,0,critical,adult,54
2,critical,tr,tr_bl,tr_gr,ci_re,4,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,adult,55
2,critical,tr,tr_bl,tr_gr,ci_re,16,2,"ci_re,tr_bl,tr_gr",100,0,0,critical,adult,56
2,critical,tr,tr_bl,tr_gr,ci_re,3,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,57
2,critical,tr,tr_bl,tr_gr,ci_re,22,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,adult,58
2,critical,tr,tr_bl,tr_gr,ci_re,7,3,"tr_gr,ci_re,tr_bl",47,53,0,critical,child,59
2,critical,tr,tr_bl,tr_gr,ci_re,18,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,60
2,critical,tr,tr_bl,tr_gr,ci_re,6,3,"ci_re,tr_gr,tr_bl",79,21,0,critical,child,61
2,critical,tr,tr_bl,tr_gr,ci_re,3,2,"ci_re,tr_bl,tr_gr",44,46,10,critical,adult,62
2,critical,tr,tr_bl,tr_gr,ci_re,11,3,"tr_gr,ci_re,tr_bl",49,51,0,critical,child,63
2,critical,tr,tr_bl,tr_gr,ci_re,9,2,"tr_gr,tr_bl,ci_re",100,0,0,critical,child,64
2,critical,tr,tr_bl,tr_gr,ci_re,12,1,"tr_bl,ci_re,tr_gr",50,50,0,critical,child,65
2,critical,tr,tr_bl,tr_gr,ci_re,1,3,"tr_gr,ci_re,tr_bl",28,36,36,critical,child,66
2,critical,tr,tr_bl,tr_gr,ci_re,14,3,"ci_re,tr_gr,tr_bl",22,40,38,critical,adult,67
2,critical,tr,tr_bl,tr_gr,ci_re,9,3,"ci_re,tr_gr,tr_bl",50,50,0,critical,adult,68
2,critical,tr,tr_bl,tr_gr,ci_re,13,3,"tr_gr,ci_re,tr_bl",34,66,0,critical,adult,69
2,critical,tr,tr_bl,tr_gr,ci_re,10,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,70
2,critical,tr,tr_bl,tr_gr,ci_re,17,1,"tr_bl,tr_gr,ci_re",80,20,0,critical,child,71
2,critical,tr,tr_bl,tr_gr,ci_re,13,1,"tr_bl,tr_gr,ci_re",100,0,0,critical,adult,72
2,critical,tr,tr_bl,tr_gr,ci_re,0,1,"tr_bl,tr_gr,ci_re",50,50,0,critical,child,73
2,critical,tr,tr_bl,tr_gr,ci_re,15,2,"tr_gr,tr_bl,ci_re",50,50,0,critical,child,74
2,critical,tr,tr_bl,tr_gr,ci_re,23,1,"tr_bl,ci_re,tr_gr",75,25,0,critical,adult,75
2,critical,tr,tr_bl,tr_gr,ci_re,17,2,"tr_gr,tr_bl,ci_re",100,0,0,critical,adult,76
2,critical,tr,tr_bl,tr_gr,ci_re,9,2,"ci_re,tr_bl,tr_gr",50,50,0,critical,adult,77
2,critical,tr,tr_bl,tr_gr,ci_re,13,1,"tr_bl,tr_gr,ci_re",0,50,50,critical,adult,78
2,critical,tr,tr_bl,tr_gr,ci_re,2,2,"tr_gr,tr_bl,ci_re",100,0,0,critical,adult,79
2,critical,tr,tr_bl,tr_gr,ci_re,19,1,"tr_bl,tr_gr,ci_re",0,100,0,critical,adult,1
2,critical,tr,tr_bl,tr_gr,ci_re,10,3,"tr_gr,ci_re,tr_bl",50,50,0,critical,child,80
3,critical,ci,ci_bl,ci_re,tr_gr,1,3,"ci_re,tr_gr,ci_bl",85,13,2,critical,adult,2
3,critical,ci,ci_bl,ci_re,tr_gr,0,3,"tr_gr,ci_re,ci_bl",50,50,0,critical,child,3
3,critical,ci,ci_bl,ci_re,tr_gr,3,3,"tr_gr,ci_re,ci_bl",100,0,0,critical,adult,4
3,critical,ci,ci_bl,ci_re,tr_gr,10,3,"tr_gr,ci_re,ci_bl",50,50,0,critical,child,5
3,critical,ci,ci_bl,ci_re,tr_gr,18,3,"ci_re,tr_gr,ci_bl",75,25,0,critical,child,6
3,critical,ci,ci_bl,ci_re,tr_gr,5,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,child,7
3,critical,ci,ci_bl,ci_re,tr_gr,1,1,"ci_bl,ci_re,tr_gr",50,50,0,critical,child,8
3,critical,ci,ci_bl,ci_re,tr_gr,21,1,"ci_bl,ci_re,tr_gr",49,51,0,critical,child,9
3,critical,ci,ci_bl,ci_re,tr_gr,9,2,"tr_gr,ci_bl,ci_re",100,0,0,critical,adult,10
3,critical,ci,ci_bl,ci_re,tr_gr,16,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,child,11
3,critical,ci,ci_bl,ci_re,tr_gr,23,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,child,12
3,critical,ci,ci_bl,ci_re,tr_gr,1,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,child,13
3,critical,ci,ci_bl,ci_re,tr_gr,5,1,"ci_bl,tr_gr,ci_re",52,48,0,critical,child,14
3,critical,ci,ci_bl,ci_re,tr_gr,12,1,"ci_bl,tr_gr,ci_re",100,0,0,critical,adult,15
3,critical,ci,ci_bl,ci_re,tr_gr,6,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,adult,16
3,critical,ci,ci_bl,ci_re,tr_gr,7,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,child,17
3,critical,ci,ci_bl,ci_re,tr_gr,19,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,adult,18
3,critical,ci,ci_bl,ci_re,tr_gr,19,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,adult,19
3,critical,ci,ci_bl,ci_re,tr_gr,12,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,child,20
3,critical,ci,ci_bl,ci_re,tr_gr,0,1,"ci_bl,tr_gr,ci_re",70,30,0,critical,child,21
3,critical,ci,ci_bl,ci_re,tr_gr,13,3,"tr_gr,ci_re,ci_bl",50,50,0,critical,child,22
3,critical,ci,ci_bl,ci_re,tr_gr,0,3,"tr_gr,ci_re,ci_bl",100,0,0,critical,child,23
3,critical,ci,ci_bl,ci_re,tr_gr,13,2,"ci_re,ci_bl,tr_gr",75,25,0,critical,child,24
3,critical,ci,ci_bl,ci_re,tr_gr,12,3,"ci_re,tr_gr,ci_bl",0,50,50,critical,child,25
3,critical,ci,ci_bl,ci_re,tr_gr,23,3,"tr_gr,ci_re,ci_bl",100,0,0,critical,adult,26
3,critical,ci,ci_bl,ci_re,tr_gr,0,2,"ci_re,ci_bl,tr_gr",76,24,0,critical,child,27
3,critical,ci,ci_bl,ci_re,tr_gr,1,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,child,28
3,critical,ci,ci_bl,ci_re,tr_gr,0,3,"ci_re,tr_gr,ci_bl",60,40,0,critical,adult,29
3,critical,ci,ci_bl,ci_re,tr_gr,0,2,"ci_re,ci_bl,tr_gr",50,50,0,critical,child,30
3,critical,ci,ci_bl,ci_re,tr_gr,22,3,"tr_gr,ci_re,ci_bl",100,0,0,critical,child,31
3,critical,ci,ci_bl,ci_re,tr_gr,11,3,"ci_re,tr_gr,ci_bl",49,41,10,critical,child,32
3,critical,ci,ci_bl,ci_re,tr_gr,23,3,"ci_re,tr_gr,ci_bl",75,25,0,critical,child,33
3,critical,ci,ci_bl,ci_re,tr_gr,2,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,adult,34
3,critical,ci,ci_bl,ci_re,tr_gr,14,2,"ci_re,ci_bl,tr_gr",50,50,0,critical,adult,35
3,critical,ci,ci_bl,ci_re,tr_gr,10,1,"ci_bl,ci_re,tr_gr",98,2,0,critical,adult,36
3,critical,ci,ci_bl,ci_re,tr_gr,3,2,"tr_gr,ci_bl,ci_re",25,25,50,critical,adult,37
3,critical,ci,ci_bl,ci_re,tr_gr,0,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,child,38
3,critical,ci,ci_bl,ci_re,tr_gr,19,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,adult,39
3,critical,ci,ci_bl,ci_re,tr_gr,1,3,"ci_re,tr_gr,ci_bl",100,0,0,critical,adult,40
3,critical,ci,ci_bl,ci_re,tr_gr,17,3,"ci_re,tr_gr,ci_bl",45,39,16,critical,child,41
3,critical,ci,ci_bl,ci_re,tr_gr,13,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,adult,42
3,critical,ci,ci_bl,ci_re,tr_gr,8,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,child,43
3,critical,ci,ci_bl,ci_re,tr_gr,13,1,"ci_bl,ci_re,tr_gr",50,50,0,critical,child,44
3,critical,ci,ci_bl,ci_re,tr_gr,21,3,"ci_re,tr_gr,ci_bl",95,5,0,critical,adult,45
3,critical,ci,ci_bl,ci_re,tr_gr,7,1,"ci_bl,tr_gr,ci_re",75,25,0,critical,adult,46
3,critical,ci,ci_bl,ci_re,tr_gr,21,2,"tr_gr,ci_bl,ci_re",70,30,0,critical,child,47
3,critical,ci,ci_bl,ci_re,tr_gr,21,2,"tr_gr,ci_bl,ci_re",75,25,0,critical,adult,48
3,critical,ci,ci_bl,ci_re,tr_gr,2,1,"ci_bl,ci_re,tr_gr",50,50,0,critical,adult,49
3,critical,ci,ci_bl,ci_re,tr_gr,6,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,adult,50
3,critical,ci,ci_bl,ci_re,tr_gr,20,1,"ci_bl,ci_re,tr_gr",50,50,0,critical,child,51
3,critical,ci,ci_bl,ci_re,tr_gr,1,1,"ci_bl,tr_gr,ci_re",100,0,0,critical,adult,52
3,critical,ci,ci_bl,ci_re,tr_gr,4,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,child,53
3,critical,ci,ci_bl,ci_re,tr_gr,0,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,adult,54
3,critical,ci,ci_bl,ci_re,tr_gr,14,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,adult,55
3,critical,ci,ci_bl,ci_re,tr_gr,14,2,"tr_gr,ci_bl,ci_re",100,0,0,critical,adult,56
3,critical,ci,ci_bl,ci_re,tr_gr,10,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,child,57
3,critical,ci,ci_bl,ci_re,tr_gr,13,1,"ci_bl,tr_gr,ci_re",50,50,0,critical,adult,58
3,critical,ci,ci_bl,ci_re,tr_gr,15,3,"ci_re,tr_gr,ci_bl",58,42,0,critical,child,59
3,critical,ci,ci_bl,ci_re,tr_gr,4,2,"ci_re,ci_bl,tr_gr",35,56,9,critical,child,60
3,critical,ci,ci_bl,ci_re,tr_gr,8,2,"ci_re,ci_bl,tr_gr",67,33,0,critical,child,61
3,critical,ci,ci_bl,ci_re,tr_gr,13,1,"ci_bl,tr_gr,ci_re",49,49,2,critical,adult,62
3,critical,ci,ci_bl,ci_re,tr_gr,6,1,"ci_bl,ci_re,tr_gr",48,52,0,critical,child,63
3,critical,ci,ci_bl,ci_re,tr_gr,5,2,"tr_gr,ci_bl,ci_re",50,50,0,critical,child,64
3,critical,ci,ci_bl,ci_re,tr_gr,5,3,"tr_gr,ci_re,ci_bl",48,52,0,critical,child,65
3,critical,ci,ci_bl,ci_re,tr_gr,17,3,"ci_re,tr_gr,ci_bl",17,41,42,critical,child,66
3,critical,ci,ci_bl,ci_re,tr_gr,10,1,"ci_bl,ci_re,tr_gr",21,44,35,critical,adult,67
3,critical,ci,ci_bl,ci_re,tr_gr,18,2,"ci_re,ci_bl,tr_gr",100,0,0,critical,adult,68
3,critical,ci,ci_bl,ci_re,tr_gr,3,3,"ci_re,tr_gr,ci_bl",0,74,26,critical,adult,69
3,critical,ci,ci_bl,ci_re,tr_gr,8,3,"ci_re,tr_gr,ci_bl",50,50,0,critical,child,70
